campaign_id,campaign_name,start_date,end_date,channel,budget,members_touched,opens,clicks,conversions,open_rate,click_rate,conversion_rate,est_revenue,cpa,roi
C202410,auto_loan_rate_cut,2024-09-27,2024-11-11,email,30627.36,1867,1240,607,4,0.664167113015533,0.32512051419389393,0.0021424745581146223,39.7466,7656.84,-0.9987022518427968
C202409,credit_card_cashback,2024-08-28,2024-10-12,paid_ads,15832.4,1886,1239,614,37,0.6569459172852599,0.3255567338282078,0.019618239660657476,215.6876,427.9027027027027,-0.9863768222126779
C202405,holiday_cashback,2024-04-30,2024-06-14,email,46655.18,1770,1153,597,91,0.651412429378531,0.33728813559322035,0.05141242937853107,528.0468000000001,512.6942857142857,-0.9886819255653927
C202412,community_event_signup,2024-11-26,2025-01-10,email,5231.3,1772,1204,548,0,0.6794582392776524,0.309255079006772,0.0,,,-1.0
C202406,mobile_app_signup_reward,2024-05-30,2024-07-14,paid_ads,32383.59,1829,1182,592,75,0.6462547840349918,0.3236741388737015,0.04100601421541826,350.68600000000004,431.7812,-0.9891708732725433
C202411,student_checking_offer,2024-10-27,2024-12-11,social,33483.17,1816,1167,610,0,0.6426211453744494,0.33590308370044053,0.0,,,-1.0
C202415,new_member_gift_card,2025-02-24,2025-04-10,branch,46516.24,1783,1155,591,0,0.6477846326416152,0.33146382501402133,0.0,,,-1.0
C202413,high_yield_cd_promo,2024-12-26,2025-02-09,paid_ads,33754.96,1808,1224,603,0,0.6769911504424779,0.33351769911504425,0.0,,,-1.0
C202402,summer_savings_drive,2024-01-31,2024-03-16,branch,7575.69,1804,1220,610,111,0.6762749445676275,0.33813747228381374,0.061529933481152994,753.139,68.24945945945946,-0.9005847652161058
C202403,refer_a_friend_bonus,2024-03-01,2024-04-15,paid_ads,14840.82,1768,1139,562,103,0.6442307692307693,0.3178733031674208,0.0582579185520362,749.4762000000001,144.08563106796117,-0.949499003424339
C202404,back_to_school_loan_offer,2024-03-31,2024-05-15,email,19260.06,1859,1239,587,107,0.666487358795051,0.3157611619150081,0.05755782678859602,637.514,180.00056074766357,-0.9668996877475979
C202407,spring_savings_match,2024-06-29,2024-08-13,social,41623.51,1858,1245,592,76,0.670075349838536,0.3186221743810549,0.04090419806243272,583.7632,547.6777631578948,-0.9859751568284366
C202401,$200_new_checking_bonus,2024-01-01,2024-02-15,paid_ads,21441.53,1825,1151,607,132,0.6306849315068493,0.3326027397260274,0.07232876712328767,1223.028,162.43583333333333,-0.9429598540775775
C202408,first_home_mortgage_offer,2024-07-29,2024-09-12,social,41870.49,1807,1224,595,48,0.677365799667958,0.3292750415052573,0.026563364692861097,391.4438,872.301875,-0.9906510814657292
C202414,online_banking_upgrade,2025-01-25,2025-03-11,social,29980.63,1752,1165,614,0,0.6649543378995434,0.3504566210045662,0.0,,,-1.0
